AccX,AccY,AccZ,Acc_Mag,Altitude,Delta_Pitch,Delta_Roll,GyroX,GyroY,GyroZ,Gyro_Mag,Jerk,Pitch,Roll,Speed,Yaw,Delta_Altitude,Label
-0.336983889,1.511938334,9.408015251,9.534687548,855.5999756,0.584100118,0.657419327,-0.060453713,-0.044741072,0.01105211,0.076016867,0.177490006,8.815065909,2.688154733,0.091340683,81.175376,0,Normal Driving
-0.332195491,1.521515131,9.398438454,9.526594749,855.5999756,0.398011815,0.629436722,-0.00519316,-0.017976323,-0.008255793,0.020451778,0.008092799,9.213077724,2.058718012,0.091340683,80.78107387,0,Normal Driving
-0.313041866,1.511938334,9.427168846,9.552772644,855.5999756,0,0,-0.00519316,-0.017976323,-0.008255793,0.020451778,0.026177895,9.213077724,2.058718012,0.091340683,80.78107387,0,Normal Driving
-0.289099842,1.511938334,9.441534042,9.56619576,855.5999756,0.106455038,0.156833158,-0.00519316,-0.017976323,-0.008255793,0.020451778,0.013423116,9.106622686,1.901884854,0.091340683,80.88844211,0,Normal Driving
-0.255581021,1.48799634,9.446322441,9.566214634,855.5999756,0,0,-0.00519316,-0.017976323,-0.008255793,0.020451778,1.89E-05,9.106622686,1.901884854,0.091340683,80.88844211,0,Normal Driving
-0.207697004,1.478419542,9.465476036,9.582489185,855.5999756,0.231381298,0.644869108,-0.00519316,-0.017976323,-0.008255793,0.020451778,0.016274551,8.875241388,1.257015746,0.091340683,81.12265628,0,Normal Driving
-0.15023616,1.44968915,9.556455612,9.666954712,855.5999756,0,0,-0.00519316,-0.017976323,-0.008255793,0.020451778,0.084465527,8.875241388,1.257015746,0.091340683,81.12265628,0,Normal Driving
-0.265157849,1.454477549,9.623494148,9.736398371,855.5999756,0.005874318,0.36226527,-0.026232118,-0.00972053,0.016644744,0.032552423,0.121080173,8.372466479,1.72686413,0.091340683,81.62378332,0,Normal Driving
-0.265157849,1.454477549,9.623494148,9.736398371,855.5999756,0.218855414,0.148582628,-0.026232118,-0.00972053,0.016644744,0.032552423,0,8.591321893,1.578281502,0.091340683,81.40546624,0,Normal Driving
-0.26036942,1.483207941,9.475052834,9.593973329,855.5999756,0.294835067,0.047078152,-0.026232118,-0.00972053,0.016644744,0.032552423,0.142425043,8.88615696,1.625359653,0.091340683,81.11032345,0,Normal Driving
-0.269946247,1.483207941,9.45111084,9.570594176,855.5999756,0.029220336,0.010699536,-0.026232118,-0.00972053,0.016644744,0.032552423,0.023379153,8.915377296,1.63605919,0.091340683,81.08104526,0,Normal Driving
-0.265157849,1.483207941,9.494206429,9.613020867,855.5999756,0,0,-0.026232118,-0.00972053,0.016644744,0.032552423,0.042426691,8.915377296,1.63605919,0.091340683,81.08104526,0,Normal Driving
-0.322618693,1.48799634,9.498994827,9.620245249,855.5999756,0.003623927,0.272614357,-0.026232118,-0.00972053,0.016644744,0.032552423,0.007224382,8.919001223,1.908673547,0.091340683,81.0761273,0,Normal Driving
-0.265157849,1.397016644,9.479841232,9.585893489,855.5999756,0.087185126,0.135874102,-0.002396843,0.004127896,0.009853689,0.010948953,0.219091286,7.824055171,1.64897915,0.091340683,82.17274357,0,Normal Driving
-0.265157849,1.397016644,9.479841232,9.585893489,855.5999756,0.555887975,0.046793508,-0.002396843,0.004127896,0.009853689,0.010948953,0,8.379943146,1.602185641,0.091340683,81.61682599,0,Normal Driving
-0.255581021,1.464054346,9.470264435,9.586171564,855.5999756,0.343888218,0.046844932,-0.002396843,0.004127896,0.009853689,0.010948953,0.000278075,8.723831363,1.555340709,0.091340683,81.27300286,0,Normal Driving
-0.279523045,1.41138196,9.666589737,9.773079827,855.5999756,0.420411132,0.100985833,-0.002396843,0.004127896,0.009853689,0.010948953,0.186908263,8.303420231,1.656326542,0.091340683,81.69315743,0,Normal Driving
